,Movie_name,Genre,Director,Writer,Painter,Firm,Type,Color,Runtime,Year
0,26 komissar,"tarixi, dram",Nikolay Şengelaya,"Aleksandr Rjeşevski, Nikolay Şengelaya, A. Amiraqov",Viktor Aden,Azərfilm,tammetrajlı bədii film,ağ-qara,78.0,1932
1,40-cı qapı,dram,Elçin Musaoğlu,Elçin Musaoğlu,Elxan Nəbiyev,Ritm Prodakşn,tammetrajlı bədii film,rəngli,81.0,2008
2,1001-ci qastrol,"komediya, musiqili",Oqtay Mirqasımov,"Vaqif Səmədoğlu, Oqtay Mirqasımov",Rafiz İsmayılov,"""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,rəngli,65.0,1974
3,Ad günü,dram,Rasim Ocaqov,Rüstəm İbrahimbəyov,Kamil Nəcəfzadə,"""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,rəngli,71.0,1977
4,Ağ atlı oğlan,"dram, döyüş, müharibə, uşaq",Ənvər Əbluc,"İsi Məlikzadə, Ənvər Əbluc",Nizami Bəydəmirov,"""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,None,64.0,1995
5,"""Ağ-qara"" gecələr",dram,Ayaz Salayev,"Ayaz Salayev, [1], Nadya Mağuli","İbrahimxəlil Aminov, Əziz Məmmədov","""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,rəngli,81.0,2013
6,Axırıncı aşırım,"dram, döyüş, macəra",Kamil Rüstəmbəyov,Fərman Kərimzadə,Nadir Zeynalov,"""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,ağ-qara,73.0,1971
7,Ailə,dram,"Rüstəm İbrahimbəyov, Ramiz Həsənoğlu",Rüstəm İbrahimbəyov,Şamil Nəcəfzadə,None,tammetrajlı bədii film,rəngli,103.0,1998
8,Aktrisa,"dram, cinayət, triller",Rövşən İsax,"İlqar Fəhmi, Rövşən İsax","Mustafa Mustafayev (dekorator rəssam), Gülnarə Xəlilova (geyim rəssamı)","""Pozitiv Mediya"" Prodüser Mərkəzi",tammetrajlı bədii film,rəngli,97.0,2011
9,Alma almaya bənzər,"komediya, musiqili",Arif Babayev,Alla Axundova,Firəngiz Qurbanova,"""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,rəngli,81.0,1975
10,Alman klinikasına şəxsi səfər,"döyüş, macəra, triller",Rasim İsmayılov,"Rasim İsmayılov, Məmməd Avdiyev",Fikrət Əhədov,"""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,rəngli,128.0,1988
11,Almaz,dram,"Ağarza Quliyev, Qriqori Braginski",Cəfər Cabbarlı,Viktor Aden,Azərbaycan kinostudiyası,tammetrajlı bədii film,ağ-qara,65.0,1936
12,Altıncı hiss,dram,Mikayıl Mikayılov,"Aleksey Kapler, İvan Tartakovski",Viktor Aden,Azərfilm,tammetrajlı bədii film,ağ-qara,100.0,1935
13,Anın quruluşu,"dram, komediya, məhəbbət",Rasim İsmayılov,Rüstəm İbrahimbəyov,Rafiz İsmayılov,"""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,rəngli,129.0,1980
14,Anlamaq istəyirəm,dram,Oqtay Mirqasımov,"Nəbi Xəzri, Leonid Juxovitski, Oqtay Mirqasımov",Firəngiz Qurbanova,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,133.0,1980
